"","state","name","col_ruler","ind_from","ind_date","named_ind_from","gdp_val","cm_val","hdi_val"
"1",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926
"2",41,"Haiti",220,220,1804,"France",20726099562.207,64.8,0.498
"3",42,"Dominican Republic",230,41,1844,"Other",189150841479.136,28.8,0.736
"4",51,"Jamaica",200,200,1962,"England",27290627429.9591,14.4,0.732
"5",52,"Trinidad and Tobago",200,200,1962,"England",44792134342.9767,18.3,0.784
"6",54,"Dominica",200,200,1978,"England",762792505.12,35.7,0.715
"7",55,"Grenada",200,200,1974,"England",1751695438.7343,15.2,0.772
"8",58,"Antigua and Barbuda",200,200,1981,"England",2574636434.4484,6.4,0.78
"9",70,"Mexico",230,230,1821,"Spain",2509672653824.83,12.7,0.774
"10",80,"Belize",200,200,1981,"England",3365851350.077,13,0.708
"11",90,"Guatemala",230,89,1839,"Other",145699938617.868,26.2,0.65
"12",91,"Honduras",230,89,1838,"Other",49181017018.2159,17.6,0.617
"13",92,"El Salvador",230,89,1840,"Other",53401257031.2444,13.7,0.674
"14",93,"Nicaragua",230,89,1838,"Other",35713968933.3841,18.3,0.658
"15",94,"Costa Rica",230,89,1838,"Other",88215632572.0315,8.8,0.794
"16",95,"Panama",230,100,1903,"Other",106546316702.943,15.3,0.789
"17",100,"Colombia",230,230,1819,"Spain",744702661128.456,14.2,0.747
"18",110,"Guyana",200,200,1966,"England",6675097046.0736,30.1,0.654
"19",115,"Suriname",210,210,1975,"Netherlands",8926644280.4397,18.9,0.72
"20",130,"Ecuador",230,100,1830,"Other",200120921432.827,14.2,0.752
"21",135,"Peru",230,230,1824,"Spain",460435807872.752,14.3,0.75
"22",140,"Brazil",235,235,1822,"Portugal",3365757423619.22,14.4,0.759
"23",150,"Paraguay",230,230,1811,"Spain",94399883332.5037,20.2,0.702
"24",155,"Chile",230,230,1818,"Spain",472396758342.687,7.2,0.843
"25",160,"Argentina",230,230,1816,"Spain",915131850723.493,9.9,0.825
"26",165,"Uruguay",230,140,1828,"Other",81164100288.4096,7.6,0.804
"27",200,"United Kingdom",-9,-9,1066,"No Colonizer",3024524982004.73,4.3,0.922
"28",205,"Ireland",200,200,1922,"England",403828175285.637,3.7,0.938
"29",210,"Netherlands",-9,230,1581,"Spain",970604942312.105,3.9,0.931
"30",211,"Belgium",210,210,1830,"Netherlands",575291632773.203,3.7,0.916
"31",212,"Luxembourg",210,210,1867,"Netherlands",67520485805.2558,2.4,0.904
"32",220,"France",-9,-9,943,"No Colonizer",3037362126717.57,4,0.901
"33",225,"Switzerland",-9,-9,1291,"No Colonizer",579940641862.271,4.1,0.944
"34",230,"Spain",-9,-9,1479,"No Colonizer",1865000447631.72,3,0.891
"35",235,"Portugal",-9,-9,1139,"No Colonizer",339721555140.666,3.7,0.847
"36",290,"Poland",255,255,1918,"Other",1190360635039.95,4.4,0.865
"37",305,"Austria",-9,300,1918,"Other",491095423619.511,3.5,0.908
"38",310,"Hungary",-9,300,1918,"Other",299638720311.033,4.3,0.838
"39",338,"Malta",200,200,1964,"England",20582520805.689,7,0.878
"40",339,"Albania",640,640,1913,"Turkey",38196049979.188,8.8,0.785
"41",341,"Montenegro",640,345,2006,"Other",12754677216.5809,2.5,0.814
"42",344,"Croatia",300,345,1991,"Other",112477617058.28,4.7,0.831
"43",346,"Bosnia and Herzegovina",640,345,1992,"Other",47691700461.9869,5.8,0.768
"44",349,"Slovenia",300,345,1991,"Other",78992356847.7713,2.1,0.896
"45",350,"Greece",640,640,1829,"Turkey",317454786563.045,4.5,0.87
"46",352,"Cyprus",200,200,1960,"England",32864031110.0187,2.4,0.869
"47",355,"Bulgaria",640,640,1878,"Turkey",154254381915.75,7.1,0.813
"48",360,"Romania",640,640,1878,"Turkey",549288791980.098,7.3,0.811
"49",366,"Estonia",365,365,1918,"Russia",46825654423.5069,2.6,0.871
"50",367,"Latvia",365,365,1918,"Russia",59129881085.8261,3.9,0.847
"51",368,"Lithuania",365,365,1918,"Russia",98591635655.7453,4,0.858
"52",369,"Ukraine",365,365,1991,"Russia",390283442170.984,8.7,0.751
"53",370,"Belarus",365,365,1991,"Russia",189323967129.94,3.4,0.808
"54",371,"Armenia",640,365,1991,"Russia",30476895725.9258,12.4,0.755
"55",372,"Georgia",365,365,1991,"Russia",42610369245.7938,9.8,0.78
"56",373,"Azerbaijan",365,365,1991,"Russia",179084456637.153,21.5,0.757
"57",375,"Finland",-9,365,1917,"Russia",264481193137.273,1.7,0.92
"58",380,"Sweden",-9,-9,1523,"No Colonizer",536910116358.382,2.7,0.933
"59",385,"Norway",-9,380,1905,"Other",348613812222.464,2.5,0.953
"60",390,"Denmark",-9,-9,980,"No Colonizer",319468472832.641,4.2,0.929
"61",395,"Iceland",-9,390,1944,"Other",20263802910.3577,2,0.935
"62",403,"Sao Tome and Principe",235,235,1975,"Portugal",720145324.1075,31.2,0.589
"63",404,"Guinea-Bissau",235,235,1974,"Portugal",3366062514.6036,81.5,0.455
"64",411,"Equatorial Guinea",230,230,1968,"Spain",30725014158.5433,85.3,0.591
"65",432,"Mali",220,220,1960,"France",44118488193.1522,97.8,0.427
"66",433,"Senegal",220,432,1960,"Other",59863970711.8422,43.6,0.505
"67",435,"Mauritania",220,220,1960,"France",18449706763.3949,75.7,0.52
"68",436,"Niger",220,220,1960,"France",23531053922.824,83.7,0.354
"69",438,"Guinea",220,220,1958,"France",32651997368.263,100.8,0.459
"70",450,"Liberia",-9,-9,1847,"No Colonizer",6295134390.5163,70.9,0.435
"71",451,"Sierra Leone",200,200,1961,"England",12267060757.619,105.1,0.419
"72",452,"Ghana",200,200,1957,"England",141045907398.107,47.9,0.592
"73",461,"Togo",220,220,1960,"France",13893757534.0841,69.8,0.503
"74",471,"Cameroon",220,220,1960,"France",95091741255.9701,76.1,0.556
"75",475,"Nigeria",200,200,1960,"England",1171386850319.78,119.9,0.532
"76",481,"Gabon",220,220,1960,"France",37961344943.5563,44.8,0.702
"77",482,"Central African Republic",220,220,1960,"France",4066847512.477,116.5,0.367
"78",483,"Chad",220,220,1960,"France",30410486853.3474,119,0.404
"79",500,"Uganda",200,200,1962,"England",86868419939.8795,46.4,0.516
"80",501,"Kenya",200,200,1963,"England",177893890060.964,41.1,0.59
"81",516,"Burundi",211,211,1962,"Other",8301036090.0708,58.5,0.417
"82",517,"Rwanda",211,211,1962,"Other",27722665651.5309,35.3,0.524
"83",530,"Ethiopia",-9,-9,1855,"No Colonizer",220477622179.804,55.2,0.463
"84",540,"Angola",235,235,1975,"Portugal",198444945931.76,77.2,0.581
"85",541,"Mozambique",235,235,1975,"Portugal",39168174921.8333,73.2,0.437
"86",551,"Zambia",200,200,1964,"England",73163228107.7529,57.8,0.588
"87",553,"Malawi",200,200,1964,"England",23743858435.4522,49.7,0.477
"88",560,"South Africa",200,200,1910,"England",793333085825.856,33.8,0.699
"89",565,"Namibia",200,560,1990,"Other",27260842156.3311,39.6,0.647
"90",570,"Lesotho",200,200,1966,"England",6794553407.8947,81.1,0.52
"91",571,"Botswana",200,200,1966,"England",41888348037.9794,36.5,0.717
"92",581,"Comoros",220,220,1975,"France",2353695077.1712,67.5,0.503
"93",590,"Mauritius",220,200,1968,"England",29999198597.8929,15.5,0.79
"94",591,"Seychelles",200,200,1976,"England",2951549431.2043,14.5,0.797
"95",600,"Morocco",220,-9,1666,"No Colonizer",314241266658.603,22.4,0.667
"96",615,"Algeria",220,220,1962,"France",659686582356.97,23.5,0.754
"97",616,"Tunisia",640,640,1591,"Turkey",144374363230.506,17,0.735
"98",620,"Libya",640,200,1951,"England",138287328575.932,12,0.706
"99",625,"Sudan",200,200,1956,"England",198945278661.7,60.5,0.502
"100",640,"Turkey",-9,-9,1453,"No Colonizer",2296104297946.4,10.6,0.791
"101",645,"Iraq",640,200,1932,"England",672978507594.86,26.7,0.685
"102",660,"Lebanon",640,220,1943,"France",89433526962.2118,7.4,0.757
"103",663,"Jordan",640,200,1946,"England",93068215794.7779,16.2,0.735
"104",666,"Israel",640,200,1948,"England",353775018069.939,3.7,0.903
"105",670,"Saudi Arabia",640,-9,1926,"No Colonizer",1857538202580.3,7.1,0.853
"106",690,"Kuwait",200,200,1961,"England",304938677377.795,7.9,0.803
"107",692,"Bahrain",200,200,1971,"England",74108660120.7332,7.1,0.846
"108",694,"Qatar",200,200,1971,"England",352153740968.452,6.8,0.856
"109",696,"United Arab Emirates",200,200,1971,"England",721770277976.406,7.6,0.863
"110",698,"Oman",235,640,1741,"Turkey",200107925339.064,11.4,0.821
"111",700,"Afghanistan",200,200,1919,"England",72544086003.9124,62.3,0.498
"112",701,"Turkmenistan",365,365,1991,"Russia",112747336654.514,45.8,0.706
"113",702,"Tajikistan",365,365,1991,"Russia",31340511794.4135,34.8,0.65
"114",704,"Uzbekistan",365,365,1991,"Russia",231357627289.069,21.4,0.71
"115",705,"Kazakhstan",365,365,1991,"Russia",508645664097.079,9.9,0.8
"116",712,"Mongolia",710,710,1921,"Other",43543969217.2417,16.3,0.741
"117",740,"Japan",-9,-9,1590,"No Colonizer",5414680004832.43,2.5,0.909
"118",750,"India",200,200,1947,"England",10498468291043.5,36.6,0.64
"119",760,"Bhutan",200,750,1947,"Other",7933416431.8503,29.7,0.612
"120",770,"Pakistan",200,200,1947,"England",1176498290821.12,69.3,0.562
"121",771,"Bangladesh",200,770,1971,"Other",704165060865.658,30.2,0.608
"122",790,"Nepal",-9,-9,1768,"No Colonizer",86073856240.2723,32.2,0.574
"123",800,"Thailand",-9,-9,1769,"No Colonizer",1320373330779.76,9.1,0.755
"124",811,"Cambodia",220,220,1953,"France",70752827801.2787,28,0.582
"125",820,"Malaysia",200,200,1957,"England",999404799339.816,7.8,0.802
"126",830,"Singapore",200,820,1965,"Other",571494341064.668,2.8,0.932
"127",840,"Philippines",230,2,1946,"United States",952966938136.538,28.4,0.699
"128",850,"Indonesia",210,210,1949,"Netherlands",3494761838591.22,25,0.694
"129",900,"Australia",200,200,1901,"England",1289650825647.35,3.7,0.939
"130",910,"Papua New Guinea",200,900,1975,"Other",36995573934.802,47.8,0.544
"131",920,"New Zealand",200,200,1907,"England",200430740009.713,5.7,0.917
"132",935,"Vanuatu",200,220,1980,"France",937110003.548,26.4,0.603
"133",940,"Solomon Islands",200,200,1978,"England",1573002905.024,20,0.546
"134",946,"Kiribati",200,200,1979,"England",265275142.773,52.5,0.612
"135",950,"Fiji",200,200,1970,"England",9721602101.0392,25.6,0.741
"136",955,"Tonga",200,200,1970,"England",661311255.0302,15.6,0.726
"137",983,"Marshall Islands",2,2,1986,"United States",236482470.7426,33.1,0.708
"138",986,"Palau",2,2,1994,"United States",346545285.0787,17.9,0.798
